URI	Filename	FixedModifications	VariableModifications	Proteomics Data Acquisition Method	Label	PrecursorMassTolerance	PrecursorMassToleranceUnit	FragmentMassTolerance	FragmentMassToleranceUnit	DissociationMethod	Enzyme
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f07.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=aqvHjXYPY4EzJrIRhQ6Dftx5Lhw1-zns3uZyZelVM70lMAsO-EMljHDG~xqebzhzlcumb6dRzktBk8ahOmHlSH9tYpPnxkpQpZtALGGOkDyc2kI-tUOwMSdVkiC-I8nmg7MmpPsohC--2hcNyKogPVji5j3Iq-BKmpjA8i3iNVlRxUA~DFm2z6sWr05iYJh8nu~F8gCTve765CV6cI5VUkaGRgPsAkuWQ5RCzp82EKr98or0AxjLnvA9~B0rtTmpe4J~TF0GRiHDv3~EQXUrmRX~0F5X6JAw8ok86zThaS0YFgA62wzXfsV7587PYZmdzggISe~eiOb7uhfrmOuXfQ__	20CPTAC_PDA_W_JHU_20200121_LUMOS_f07.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f04.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=cfB5L~WS88iaSJIDMnbbdeAz01NvQlLnvkLPnxwr67lhfdihom~XaSVZERMKwH1EceowF9xzesBHfImngT0A9cdxbzyHABvvbi2hKTEa2cE8ra98COLvm3xBh~XpB7~10ARHTYEhagvy~TP-gpMFyvgh1ki9KPbF3g0O0-72qFp-MU4UHkMpjc0W10JfV23inA5KnxTHDuqHKGZfb8zu0KiUSuqjjQT0KxCxraoS1T4mTUzcR1lWBUK3Xu-mjvw1Rq0vaj6kbOMTU1zqsdTTytoIYtb4Vl9kFxRxkJwr0xK-WGP3yO~hvEPHe8jMbqPN91VdoBA3w1pWnMblPPvrUQ__	20CPTAC_PDA_W_JHU_20200121_LUMOS_f04.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f01.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=F7-e3AyXQ49DHiQGmSw4rvtX7CUmX1IX2gpKVpCrkokxSdQaG-vQ9ANYN0aXqFrUN6zSjOoEzb3Dy4kvUM9eLNjevq9fmyLZd3AUCROLBrgVCzcHMynGSalPa5xRQ8yAeIeszUmgf2SifaFTpP2rRUjXbRvxwdpcpXAmOqiuIiFySyeMqiVPEwaSqIHbnmfN6nz1FEqNrhV7OUIn18Ke~8vS6yoPSzHuUFYGP1-sp9S72hhOSWBGktXXGvTvZaE20zPetzMfDuGqs5TQZYk4yji3XxDWPEoaK~rA1ZMbiz~FRYsaROIXoG9FOL2aKFjkwOKuPTJhPnMl0nc0R6h3SQ__	20CPTAC_PDA_W_JHU_20200121_LUMOS_f01.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f22.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=emc3w3ivXMX8tIVSnlvRw3It5fst1Pwn4wVZdfneUlhzl52S9wcCVE9R~g4vUrby7YD~WX0B3g3v6jQww-cY0B-2AIpxgjJ4cKCGMevEd~vBcNKiy8SNsoZZBHzp1caCvP47-2XA6G7GtSDZJo7J5sq0tZ23qik7oRJ7aVscWZ7TtZd---Le~i15JXAIK1oTfaLHS12bEbaadF~bmontLQoOX~kDhZpznAsy8oMig0-nxt0bGhBH9USHuoUiWzK8lvCBXSksDy29u8mffFcYz0bxQFwlUa4vKl3tkDOtW0EUL1gxI6IhoGi0fQhPEQ4ZPT4JC-PS1puptFyjLc6QVQ__	20CPTAC_PDA_W_JHU_20200121_LUMOS_f22.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f13.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=QAePZEQXFi38rlTRM-i7ppjj~d97-UwWAasSLRYzQfVK4OeXkSHim7CRwd5439OIJRHjlphidkvPk3pwVEmGDqweNlJOXMUfYGY5H48MGPzYHO9O9VkvxOiFIcG8MeVK~ncjQDZsyxSbIbCoFr~TRx8dQQy2odF7WHyF~paUd02X31k-DPCxvLcSHglwl7gr-T5R5kLYlHFgiUhZbl4JwdjGhuAfmpru4fUMWgVwV576zsWasLU9PnOnI7PI5cvR2PqA631JvRcxYOxmiyPFuEMRm19niJNIiv7C0KlkbIRzZpQU3D7lJXnl5Bnm6QO8mZx2G8qJW1exoEKn6MoIjQ__	20CPTAC_PDA_W_JHU_20200121_LUMOS_f13.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f19.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=RF9c0SAgj2bQZWZ58dAAE1SHoZBakikWRrw5E1RGu0m93EQvvGHpV6np9WEpCP~qH2MHPhtqRfk0fOrAnMJls2GY7TiU3Pocnlk2-HML~Qdv6hs0cd2AE2cihSu~zbMQ7XXdrsw-N0y0WVg29mrcecxfuHui6iex-9YsLgxvTTQY6U9LTGEBSuja6~JlRBrcPv-D0zLKIqHdaydPxbwZTi67mq53Cd~cT8k4VwIHSCvpiWsN0lgVFPrPzLiGEYeGA6VmyOoM-TLfqU4pBAstvSERuQ~ejHw-lsTa88F8~XriZO-kdyprXdD-hlwDhMS88cMAlLlpoHA33oJI-4ZTvA__	20CPTAC_PDA_W_JHU_20200121_LUMOS_f19.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f18.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=NZ4s7Uk-vt-sxuhzDoKM6mYbnhKJtlp92zCJ2~dEqr3PLAnvVqoLG70mGxW8dheZzlvluOUZmtQ-9sIL9C-ZWT3x82AxVpfDI2teWW4a1hkqKmHqF~0-a5zXzd2JDJXGHeeTD1EmFh~orvsEcwi1-2XyA11ZzxWKWm7jj5aSAqR~CAaw1guBRnkl3-EdqDdVSdhG-~ztDy7nt8gWo0q-MjUMB1xEkHZwaWAOxsEKNNxHWFEI8Kcd6PnlWVtIBzpvuUsVgHZPLSKEg7vQZh9Xr8bMvWFDc-DrEG531ebn34Ripi19vktM6-EZjuFMUl~pf99ONtKkxiH5Ypxew4gIbw__	20CPTAC_PDA_W_JHU_20200121_LUMOS_f18.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f02.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=ApDp7TKL1iVKhyHiJ7LEPfONNAO9hmVaenbNEG7xJ9~2RV~sQszvHbcDC-EgHClUYCGUL0AufChgCDIm4nPSW89CGrLcAgUB84xuxRGfAIsBegA9ACu6YCgy0ufDVsTZ2Lzyddn5XZPzt2oxDjXkbbG5ik~Upwl5Trnn3X0dfb~l~Fdvc~7fRJ0nWHo1mzByZ1TB2Cl5z~rZWT6KyrkUGv~8Ce1by4a3QQ-kVgFrYguomEwgXbgTht6olAKqo1TQqegbRCjTpV81RosCGAnHUaeskZt6qxje-KSyi5g1V1dW1R8rQwDAMRNk20Z1~fXt7fXv-VSo-nuhDmog6FIBPw__	20CPTAC_PDA_W_JHU_20200121_LUMOS_f02.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_fA.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=ZSD6CecSpdBQjXpBoTSvJHH1paUTUcQffUplDbv6QO5P8egCe1eGnAY6UcHCYjTDoHm7~5OXxpasO~X7v7~lebAqURfuR~62K8AR5LB~lD2d-EMyfATCEE23y7ps8JM-PiWxEn~yvTppvPszjMOS60wF67pdqQn7q4QxleGav7SrMX2MFhwXvboGQhQJILxXceY0ODKkJ0~wLy6D1736UXtB8wbw9dihwCWa8oNA8yEb30pXSpaed-ub~x~WKJAf0Orj0RJBfrOr5u5FhqnrSkSbm21dR3oopy007C1bT-5fTPaSJR~zStoCJKR3WstQP3rYFlRUANoRoYthzQx3Ng__	20CPTAC_PDA_W_JHU_20200121_LUMOS_fA.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f15.raw?Expires=1702023811&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=UWHNZiPWaGFUQMq0pTcVp5iq-NcbHTteBrDsKi2oHNu~sTc7gxZrqbEtSrW4nLobfu0LU8MezBMqSxSORacabXkdZSmA0iHL8STwlcx-oivwrflSV74cx7ABn4idn9n6WIRhR9fbVy6UyYvdvoW~xv~u-V3oiofcEaD8GJcDOGaUx~G4Pvl-bqXINDwXkhIaoB3IjCcKnUESdEIBcU30P8~pkVYey45zQTb9mq2ij2IBywndge5U1u9L2HTiaa8GZfQS3JCqykvh4BD6jpzDEOiUCSYWuxryG3K-424oBVIbhfUBvgFJ-C5RxqYrB3Ab~6ILals3hI-D8zvT82agUw__	20CPTAC_PDA_W_JHU_20200121_LUMOS_f15.raw		TMT6plex (K),TMT6plex (N-term)	Data-Dependent Acquisition	tmt11plex	10	ppm	20	ppm	HCD	Trypsin
